#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 30589301; 0.0013531684; 3.3260727; -1; ; ; 0
000440245691; 30599301; 0.001624889; 3.3260727; -1; ; ; 0
000440245691; 30609301; 0.0015915348; 3.3260727; -1; ; ; 0
000440245691; 30619301; 0.002065618; 3.3258033; -1; ; ; 0
000440245691; 30629301; 0.88137215; 3.3258033; -1; ; ; 0
000440245691; 30639301; 0.94688874; 3.3212276; -1; ; ; 0
000440245691; 30649301; 0.06609783; 3.3212276; -1; ; ; 0
000440245691; 30659301; -5.6875637E-4; 3.3212276; -1; ; ; 0
000440245691; 30669301; -3.1636318E-4; 3.32365; -1; ; ; 0
000440245691; 30679301; 1.699361E-5; 3.32365; -1; ; ; 0
000440245691; 30689301; 9.7530277E-4; 3.3258033; -1; ; ; 0
000440245691; 30699301; 0.0010182977; 3.3258033; -1; ; ; 0
000440245691; 30709301; 9.732928E-4; 3.3258033; -1; ; ; 0
000440245691; 30719301; 9.28928E-4; 3.3212276; -1; ; ; 0
000440245691; 30729301; 8.889034E-4; 3.3212276; -1; ; ; 0
000440245691; 30739301; 0.0011841995; 3.3204198; -1; ; ; 0
000440245691; 30749301; 0.0019449437; 3.3204198; -1; ; ; 0
000440245691; 30759301; 0.0016395944; 3.3204198; -1; ; ; 0
000440245691; 30769301; 0.0010211301; 3.3255339; -1; ; ; 0
000440245691; 30779301; 0.0020374216; 3.3255339; -1; ; ; 0
000440245691; 30789300; 0.0013405533; 3.3263416; -1; ; ; 0
000440245691; 30799300; 4.3597643E-4; 3.3263416; -1; ; ; 0
000440245691; 30809300; 0.0018288908; 3.3263416; -1; ; ; 0
000440245691; 30819301; 0.0020558343; 3.3239193; -1; ; ; 0
000440245691; 30829301; 7.9537556E-4; 3.3239193; -1; ; ; 0
000440245691; 30839301; 9.840305E-4; 3.3239193; -1; ; ; 0
000440245691; 30849301; 0.0016183034; 3.3204198; -1; ; ; 0
000440245691; 30859301; 0.0010210848; 3.3204198; -1; ; ; 0
000440245691; 30869301; 0.0013878867; 3.3258033; -1; ; ; 0
000440245691; 30879301; 0.0015026144; 3.3258033; -1; ; ; 0
000440245691; 30889301; 0.0011947992; 3.3258033; -1; ; ; 0
000440245691; 30899301; 0.0014675708; 3.3217657; -1; ; ; 0
000440245691; 30909301; 0.0010680084; 3.3217657; -1; ; ; 0
000440245691; 30919301; 8.5733057E-4; 3.3258033; -1; ; ; 0
000440245691; 30929301; 0.0011100894; 3.3258033; -1; ; ; 0
000440245691; 30939301; 0.0011160288; 3.3258033; -1; ; ; 0
000440245691; 30949301; 8.7642827E-4; 3.3255339; -1; ; ; 0
000440245691; 30959301; 0.0013988519; 3.3255339; -1; ; ; 0
000440245691; 30969301; 0.0016063773; 3.3212276; -1; ; ; 0
000440245691; 30979301; 0.0012884184; 3.3212276; -1; ; ; 0
000440245691; 30989301; 0.0013671885; 3.3212276; -1; ; ; 0
000440245691; 30999301; 0.0014967659; 3.3249958; -1; ; ; 0
